,steps,self_finding_steps,participant,level
181,9,7.0,1,81
182,23,21.0,1,82
183,31,26.0,1,83
184,26,22.0,1,84
185,13,10.0,1,85
186,17,11.0,1,86
187,23,19.0,1,87
188,23,19.0,1,88
189,19,15.0,1,89
190,23,17.0,1,90
191,13,9.0,1,91
192,15,10.0,1,92
193,27,23.0,1,93
194,23,19.0,1,94
195,23,,1,95
196,25,,1,96
197,15,8.0,1,97
198,19,12.0,1,98
199,9,7.0,1,99
200,37,,2,0
201,15,,2,1
202,19,,2,2
203,25,,2,3
204,58,,2,4
205,42,,2,5
206,33,,2,6
207,29,,2,7
208,17,,2,8
209,37,,2,9
210,36,,2,10
211,38,,2,11
212,22,,2,12
213,11,,2,13
214,37,,2,14
215,23,,2,15
216,38,,2,16
217,7,,2,17
218,33,,2,18
219,23,,2,19
220,70,,2,20
221,20,,2,21
222,17,,2,22
223,39,,2,23
224,17,,2,24
225,25,,2,25
226,38,,2,26
227,19,,2,27
228,7,,2,28
229,33,,2,29
230,23,,2,30
231,27,,2,31
232,7,,2,32
233,23,,2,33
234,34,,2,34
235,42,,2,35
236,19,,2,36
237,40,,2,37
238,11,,2,38
239,30,,2,39
240,15,,2,40
241,17,,2,41
242,150,,2,42
243,33,,2,43
244,66,,2,44
245,15,,2,45
246,12,,2,46
247,17,,2,47
248,27,,2,48
249,73,,2,49
250,25,,2,50
251,25,,2,51
252,29,,2,52
253,21,,2,53
254,13,,2,54
255,63,,2,55
256,75,,2,56
257,19,,2,57
258,28,,2,58
259,17,,2,59
260,40,,2,60
261,24,,2,61
262,37,,2,62
263,19,,2,63
264,9,,2,64
265,27,,2,65
266,35,,2,66
267,51,,2,67
268,11,,2,68
269,9,,2,69
270,54,,2,70
271,25,,2,71
272,43,,2,72
273,32,,2,73
274,19,,2,74
275,91,,2,75
276,25,,2,76
277,17,,2,77
278,23,,2,78
279,25,,2,79
280,33,,2,80
281,100,,2,81
282,21,,2,82
283,33,,2,83
284,15,,2,84
285,20,,2,85
286,7,,2,86
287,11,,2,87
288,27,,2,88
289,15,,2,89
290,74,,2,90
291,7,,2,91
292,38,,2,92
293,47,,2,93
294,7,,2,94
295,19,,2,95
296,64,,2,96
297,7,,2,97
298,76,,2,98
299,22,,2,99
300,139,22.0,3,0
301,28,23.0,3,1
302,26,25.0,3,2
303,13,10.0,3,3
304,30,27.0,3,4
305,11,10.0,3,5
306,9,,3,6
307,13,8.0,3,7
308,21,19.0,3,8
309,23,14.0,3,9
310,11,9.0,3,10
311,17,16.0,3,11
312,17,15.0,3,12
313,20,17.0,3,13
314,19,18.0,3,14
315,9,7.0,3,15
316,19,16.0,3,16
317,9,8.0,3,17
318,27,21.0,3,18
319,27,24.0,3,19
320,17,11.0,3,20
321,17,12.0,3,21
322,15,12.0,3,22
323,22,20.0,3,23
324,17,11.0,3,24
325,20,15.0,3,25
326,23,14.0,3,26
327,21,17.0,3,27
328,23,21.0,3,28
329,11,10.0,3,29
330,15,13.0,3,30
331,15,15.0,3,31
332,13,7.0,3,32
333,28,20.0,3,33
334,17,9.0,3,34
335,7,6.0,3,35
336,17,11.0,3,36
337,15,10.0,3,37
338,16,10.0,3,38
339,17,15.0,3,39
340,17,7.0,3,40
341,22,7.0,3,41
342,9,7.0,3,42
343,25,15.0,3,43
344,25,21.0,3,44
345,9,7.0,3,45
346,9,8.0,3,46
347,23,18.0,3,47
348,13,8.0,3,48
349,7,6.0,3,49
350,11,8.0,3,50
351,19,9.0,3,51
352,23,18.0,3,52
353,19,12.0,3,53
354,17,11.0,3,54
355,17,12.0,3,55
356,13,11.0,3,56
357,30,21.0,3,57
358,21,13.0,3,58
359,9,4.0,3,59
360,26,19.0,3,60
361,14,12.0,3,61
362,21,14.0,3,62
363,15,12.0,3,63
364,24,13.0,3,64
365,18,14.0,3,65
366,21,16.0,3,66
367,25,19.0,3,67
368,15,8.0,3,68
369,13,9.0,3,69
370,15,10.0,3,70
371,44,15.0,3,71
372,15,12.0,3,72
373,7,6.0,3,73
374,19,12.0,3,74
375,9,6.0,3,75
376,20,11.0,3,76
377,27,12.0,3,77
378,11,8.0,3,78
379,20,14.0,3,79
380,15,11.0,3,80
381,11,8.0,3,81
382,19,11.0,3,82
383,26,17.0,3,83
384,15,8.0,3,84
385,19,9.0,3,85
386,11,8.0,3,86
387,12,10.0,3,87
388,11,8.0,3,88
389,20,15.0,3,89
390,21,14.0,3,90
391,13,9.0,3,91
392,23,10.0,3,92
393,13,11.0,3,93
394,11,8.0,3,94
395,17,9.0,3,95
396,43,33.0,3,96
397,19,15.0,3,97
398,15,12.0,3,98
399,30,21.0,3,99
400,60,,4,0
401,7,7.0,4,1
402,33,25.0,4,2
403,48,41.0,4,3
404,13,6.0,4,4
405,13,11.0,4,5
406,23,11.0,4,6
407,124,123.0,4,7
408,39,,4,8
409,50,49.0,4,9
410,31,26.0,4,10
411,48,35.0,4,11
412,15,14.0,4,12
413,11,8.0,4,13
414,9,4.0,4,14
415,19,17.0,4,15
416,15,12.0,4,16
417,33,32.0,4,17
418,23,21.0,4,18
419,29,24.0,4,19
420,19,13.0,4,20
421,35,30.0,4,21
422,21,21.0,4,22
423,19,10.0,4,23
424,19,12.0,4,24
425,31,23.0,4,25
426,11,6.0,4,26
427,69,66.0,4,27
428,53,30.0,4,28
429,11,7.0,4,29
430,13,11.0,4,30
431,17,12.0,4,31
432,13,11.0,4,32
433,13,6.0,4,33
434,7,6.0,4,34
435,7,6.0,4,35
436,11,8.0,4,36
437,40,30.0,4,37
438,23,20.0,4,38
439,15,8.0,4,39
440,21,19.0,4,40
441,11,6.0,4,41
442,15,14.0,4,42
443,13,10.0,4,43
444,23,18.0,4,44
445,57,47.0,4,45
446,17,16.0,4,46
447,25,24.0,4,47
448,25,17.0,4,48
449,17,10.0,4,49
450,17,11.0,4,50
451,11,6.0,4,51
452,44,43.0,4,52
453,26,24.0,4,53
454,13,10.0,4,54
455,15,12.0,4,55
456,19,17.0,4,56
457,63,61.0,4,57
458,11,6.0,4,58
459,49,33.0,4,59
460,33,30.0,4,60
461,40,27.0,4,61
462,7,6.0,4,62
463,11,9.0,4,63
464,35,33.0,4,64
465,19,16.0,4,65
466,28,18.0,4,66
467,29,25.0,4,67
468,15,13.0,4,68
469,11,4.0,4,69
470,36,,4,70
471,56,52.0,4,71
472,25,23.0,4,72
473,11,9.0,4,73
474,103,94.0,4,74
475,47,43.0,4,75
476,28,25.0,4,76
477,15,14.0,4,77
478,34,23.0,4,78
479,40,38.0,4,79
480,19,12.0,4,80
481,21,18.0,4,81
482,38,36.0,4,82
483,15,12.0,4,83
484,37,28.0,4,84
485,26,21.0,4,85
486,9,9.0,4,86
487,21,12.0,4,87
488,24,13.0,4,88
489,13,7.0,4,89
490,31,25.0,4,90
491,24,19.0,4,91
492,20,17.0,4,92
493,7,6.0,4,93
494,19,17.0,4,94
495,33,26.0,4,95
496,11,7.0,4,96
497,26,19.0,4,97
498,25,22.0,4,98
499,26,22.0,4,99
500,21,2.0,5,0
501,7,,5,1
502,11,1.0,5,2
503,13,3.0,5,3
504,17,,5,4
505,23,,5,5
506,39,,5,6
507,112,,5,7
508,17,4.0,5,8
509,14,5.0,5,9
510,13,5.0,5,10
511,23,14.0,5,11
512,21,5.0,5,12
513,23,13.0,5,13
514,23,12.0,5,14
515,15,5.0,5,15
516,21,8.0,5,16
517,13,3.0,5,17
518,15,6.0,5,18
519,20,9.0,5,19
520,25,8.0,5,20
521,17,3.0,5,21
522,15,6.0,5,22
523,9,5.0,5,23
524,19,,5,24
525,37,29.0,5,25
526,31,14.0,5,26
527,15,6.0,5,27
528,13,10.0,5,28
529,13,6.0,5,29
530,22,12.0,5,30
531,15,6.0,5,31
532,7,5.0,5,32
533,44,,5,33
534,23,11.0,5,34
535,23,15.0,5,35
536,38,,5,36
537,27,8.0,5,37
538,27,17.0,5,38
539,13,6.0,5,39
540,24,19.0,5,40
541,19,10.0,5,41
542,19,11.0,5,42
543,27,22.0,5,43
544,26,16.0,5,44
545,7,7.0,5,45
546,15,7.0,5,46
547,29,8.0,5,47
548,31,28.0,5,48
549,51,19.0,5,49
550,15,7.0,5,50
551,9,6.0,5,51
552,31,25.0,5,52
553,21,11.0,5,53
554,32,21.0,5,54
555,27,22.0,5,55
556,13,7.0,5,56
557,17,12.0,5,57
558,29,16.0,5,58
559,15,9.0,5,59
560,13,4.0,5,60
561,15,7.0,5,61
562,17,13.0,5,62
563,11,6.0,5,63
564,17,15.0,5,64
565,24,15.0,5,65
566,20,12.0,5,66
567,20,9.0,5,67
568,17,11.0,5,68
569,37,31.0,5,69
570,23,9.0,5,70
571,9,7.0,5,71
572,23,12.0,5,72
573,21,14.0,5,73
574,7,6.0,5,74
575,19,13.0,5,75
576,23,13.0,5,76
577,24,13.0,5,77
578,11,9.0,5,78
579,11,7.0,5,79
580,17,9.0,5,80
581,9,8.0,5,81
582,27,16.0,5,82
583,23,7.0,5,83
584,27,17.0,5,84
585,22,13.0,5,85
586,11,10.0,5,86
587,11,7.0,5,87
588,17,7.0,5,88
589,16,14.0,5,89
590,17,8.0,5,90
591,15,5.0,5,91
592,15,6.0,5,92
593,17,9.0,5,93
594,21,13.0,5,94
595,29,23.0,5,95
596,15,12.0,5,96
597,9,4.0,5,97
598,17,4.0,5,98
599,23,15.0,5,99
600,145,,6,0
601,19,,6,1
602,15,0.0,6,2
603,25,,6,3
604,21,,6,4
605,42,,6,5
606,9,0.0,6,6
607,7,,6,7
608,21,,6,8
609,21,,6,9
610,51,0.0,6,10
611,37,17.0,6,11
612,43,29.0,6,12
613,33,18.0,6,13
614,27,11.0,6,14
615,58,35.0,6,15
616,67,48.0,6,16
617,49,31.0,6,17
618,38,20.0,6,18
619,21,8.0,6,19
620,56,41.0,6,20
621,19,7.0,6,21
622,28,14.0,6,22
623,31,14.0,6,23
624,23,9.0,6,24
625,29,21.0,6,25
626,34,22.0,6,26
627,27,16.0,6,27
628,30,23.0,6,28
629,34,15.0,6,29
630,41,24.0,6,30
631,32,17.0,6,31
632,31,17.0,6,32
633,24,8.0,6,33
634,40,22.0,6,34
635,21,8.0,6,35
636,27,9.0,6,36
637,29,9.0,6,37
638,52,33.0,6,38
639,28,11.0,6,39
640,30,16.0,6,40
641,20,5.0,6,41
642,30,16.0,6,42
643,35,16.0,6,43
644,22,9.0,6,44
645,44,27.0,6,45
646,28,8.0,6,46
647,32,17.0,6,47
648,21,7.0,6,48
649,19,6.0,6,49
650,22,6.0,6,50
651,21,5.0,6,51
652,25,8.0,6,52
653,25,13.0,6,53
654,43,13.0,6,54
655,39,25.0,6,55
656,27,15.0,6,56
657,42,23.0,6,57
658,31,16.0,6,58
659,51,34.0,6,59
660,22,7.0,6,60
661,18,6.0,6,61
662,46,14.0,6,62
663,27,7.0,6,63
664,33,20.0,6,64
665,34,19.0,6,65
666,26,14.0,6,66
667,19,7.0,6,67
668,38,17.0,6,68
669,38,23.0,6,69
670,21,8.0,6,70
671,24,10.0,6,71
672,46,31.0,6,72
673,39,15.0,6,73
674,30,17.0,6,74
675,28,16.0,6,75
676,22,8.0,6,76
677,31,16.0,6,77
678,24,7.0,6,78
679,32,16.0,6,79
680,21,7.0,6,80
681,51,36.0,6,81
682,20,7.0,6,82
683,52,33.0,6,83
684,57,39.0,6,84
685,32,17.0,6,85
686,46,31.0,6,86
687,21,8.0,6,87
688,61,47.0,6,88
689,79,60.0,6,89
690,35,20.0,6,90
691,71,54.0,6,91
692,31,17.0,6,92
693,32,18.0,6,93
694,65,48.0,6,94
695,31,16.0,6,95
696,35,19.0,6,96
697,40,18.0,6,97
698,18,,6,98
699,22,7.0,6,99
700,61,21.0,7,0
701,21,16.0,7,1
702,17,11.0,7,2
703,7,6.0,7,3
704,11,7.0,7,4
705,17,10.0,7,5
706,23,20.0,7,6
707,27,17.0,7,7
708,17,10.0,7,8
709,11,7.0,7,9
710,13,11.0,7,10
711,19,11.0,7,11
712,17,8.0,7,12
713,17,8.0,7,13
714,25,14.0,7,14
715,11,6.0,7,15
716,23,14.0,7,16
717,17,11.0,7,17
718,13,5.0,7,18
719,23,12.0,7,19
720,15,8.0,7,20
721,17,7.0,7,21
722,19,13.0,7,22
723,25,8.0,7,23
724,27,11.0,7,24
725,30,17.0,7,25
726,25,12.0,7,26
727,21,9.0,7,27
728,37,25.0,7,28
729,29,9.0,7,29
730,17,10.0,7,30
731,23,9.0,7,31
732,47,41.0,7,32
733,24,16.0,7,33
734,19,13.0,7,34
735,11,7.0,7,35
736,34,19.0,7,36
737,12,11.0,7,37
738,23,19.0,7,38
739,30,20.0,7,39
740,27,12.0,7,40
741,11,10.0,7,41
742,25,12.0,7,42
743,15,8.0,7,43
744,23,18.0,7,44
745,7,6.0,7,45
746,17,9.0,7,46
747,7,7.0,7,47
748,27,14.0,7,48
749,15,13.0,7,49
750,16,10.0,7,50
751,17,13.0,7,51
752,20,16.0,7,52
753,18,6.0,7,53
754,32,11.0,7,54
755,23,16.0,7,55
756,21,12.0,7,56
757,29,8.0,7,57
758,24,12.0,7,58
759,28,8.0,7,59
760,24,10.0,7,60
761,19,7.0,7,61
762,25,13.0,7,62
763,20,13.0,7,63
764,15,8.0,7,64
765,27,6.0,7,65
766,22,15.0,7,66
767,21,11.0,7,67
768,11,6.0,7,68
769,18,13.0,7,69
770,19,11.0,7,70
771,18,10.0,7,71
772,27,16.0,7,72
773,18,10.0,7,73
774,23,5.0,7,74
775,23,4.0,7,75
776,17,5.0,7,76
777,28,16.0,7,77
778,17,5.0,7,78
779,14,12.0,7,79
780,15,11.0,7,80
781,21,13.0,7,81
782,19,5.0,7,82
783,21,10.0,7,83
784,26,12.0,7,84
785,23,7.0,7,85
786,15,11.0,7,86
787,50,25.0,7,87
788,19,5.0,7,88
789,19,9.0,7,89
790,37,18.0,7,90
791,24,6.0,7,91
792,17,5.0,7,92
793,17,5.0,7,93
794,22,6.0,7,94
795,24,6.0,7,95
796,19,6.0,7,96
797,21,5.0,7,97
798,21,5.0,7,98
799,27,11.0,7,99
800,172,20.0,8,0
801,52,44.0,8,1
802,62,59.0,8,2
803,33,30.0,8,3
804,84,80.0,8,4
805,29,20.0,8,5
806,29,20.0,8,6
807,20,11.0,8,7
808,23,12.0,8,8
809,29,12.0,8,9
810,21,8.0,8,10
811,27,12.0,8,11
812,23,5.0,8,12
813,26,13.0,8,13
814,22,7.0,8,14
815,19,7.0,8,15
816,31,12.0,8,16
817,22,8.0,8,17
818,29,12.0,8,18
819,36,30.0,8,19
820,26,7.0,8,20
821,30,13.0,8,21
822,32,6.0,8,22
823,24,21.0,8,23
824,26,6.0,8,24
825,21,7.0,8,25
826,18,6.0,8,26
827,18,6.0,8,27
828,20,5.0,8,28
829,22,4.0,8,29
830,17,4.0,8,30
831,17,5.0,8,31
832,17,7.0,8,32
833,19,17.0,8,33
834,20,6.0,8,34
835,31,12.0,8,35
836,17,12.0,8,36
837,29,5.0,8,37
838,17,5.0,8,38
839,20,13.0,8,39
840,19,5.0,8,40
841,22,11.0,8,41
842,17,5.0,8,42
843,19,5.0,8,43
844,21,15.0,8,44
845,17,4.0,8,45
846,21,5.0,8,46
847,25,12.0,8,47
848,19,5.0,8,48
849,17,13.0,8,49
850,24,11.0,8,50
851,19,5.0,8,51
852,23,10.0,8,52
853,106,,8,53
854,19,7.0,8,54
855,27,21.0,8,55
856,23,10.0,8,56
857,29,4.0,8,57
858,29,15.0,8,58
859,18,6.0,8,59
860,20,6.0,8,60
861,17,9.0,8,61
862,17,4.0,8,62
863,24,11.0,8,63
864,28,14.0,8,64
865,21,11.0,8,65
866,15,4.0,8,66
867,17,4.0,8,67
868,19,5.0,8,68
869,18,9.0,8,69
870,28,9.0,8,70
871,26,14.0,8,71
872,19,4.0,8,72
873,49,13.0,8,73
874,19,5.0,8,74
875,28,18.0,8,75
876,21,5.0,8,76
877,18,5.0,8,77
878,19,4.0,8,78
879,17,11.0,8,79
880,22,8.0,8,80
881,23,5.0,8,81
882,25,5.0,8,82
883,53,,8,83
884,27,13.0,8,84
885,27,17.0,8,85
886,17,5.0,8,86
887,20,6.0,8,87
888,20,6.0,8,88
889,25,,8,89
890,21,6.0,8,90
891,19,13.0,8,91
892,17,5.0,8,92
893,17,4.0,8,93
894,17,5.0,8,94
895,35,,8,95
896,22,10.0,8,96
897,20,6.0,8,97
898,29,12.0,8,98
899,21,,8,99
900,170,,9,0
901,53,,9,1
902,27,,9,2
903,9,7.0,9,3
904,86,,9,4
905,15,,9,5
906,18,,9,6
907,9,,9,7
908,9,5.0,9,8
909,7,0.0,9,9
910,23,20.0,9,10
911,29,24.0,9,11
912,55,0.0,9,12
913,7,6.0,9,13
914,7,7.0,9,14
915,42,,9,15
916,36,,9,16
917,88,82.0,9,17
918,31,20.0,9,18
919,17,0.0,9,19
920,17,,9,20
921,23,,9,21
922,9,,9,22
923,11,,9,23
924,25,24.0,9,24
925,15,0.0,9,25
926,21,6.0,9,26
927,23,19.0,9,27
928,17,4.0,9,28
929,190,,9,29
930,19,19.0,9,30
931,45,,9,31
932,9,7.0,9,32
933,7,6.0,9,33
934,320,319.0,9,34
935,15,9.0,9,35
936,15,9.0,9,36
937,15,13.0,9,37
938,13,8.0,9,38
939,51,48.0,9,39
940,13,12.0,9,40
941,19,12.0,9,41
942,19,18.0,9,42
943,7,6.0,9,43
944,27,26.0,9,44
945,43,43.0,9,45
946,21,20.0,9,46
947,19,16.0,9,47
948,9,4.0,9,48
949,92,84.0,9,49
950,7,6.0,9,50
951,15,4.0,9,51
952,11,7.0,9,52
953,11,10.0,9,53
954,33,32.0,9,54
955,7,,9,55
956,30,29.0,9,56
957,27,16.0,9,57
958,9,9.0,9,58
959,45,44.0,9,59
960,21,19.0,9,60
961,15,14.0,9,61
962,99,95.0,9,62
963,27,25.0,9,63
964,139,139.0,9,64
965,31,24.0,9,65
966,17,16.0,9,66
967,36,32.0,9,67
968,15,10.0,9,68
969,11,8.0,9,69
970,11,4.0,9,70
971,11,4.0,9,71
972,17,11.0,9,72
973,13,9.0,9,73
974,23,18.0,9,74
975,39,33.0,9,75
976,7,4.0,9,76
977,17,13.0,9,77
978,35,,9,78
979,7,4.0,9,79
980,13,11.0,9,80
981,7,4.0,9,81
982,72,71.0,9,82
983,126,111.0,9,83
984,47,40.0,9,84
985,27,22.0,9,85
986,59,55.0,9,86
987,127,125.0,9,87
988,37,34.0,9,88
989,19,18.0,9,89
990,44,37.0,9,90
991,7,5.0,9,91
992,19,14.0,9,92
993,15,15.0,9,93
994,72,70.0,9,94
995,31,20.0,9,95
996,29,18.0,9,96
997,17,17.0,9,97
998,63,63.0,9,98
999,29,,9,99
1000,42,,10,0
1001,65,62.0,10,1
1002,7,,10,2
1003,27,23.0,10,3
1004,40,30.0,10,4
1005,60,,10,5
1006,7,6.0,10,6
1007,23,22.0,10,7
1008,11,9.0,10,8
1009,7,6.0,10,9
1010,7,6.0,10,10
1011,24,21.0,10,11
1012,35,21.0,10,12
1013,17,6.0,10,13
1014,29,23.0,10,14
1015,33,15.0,10,15
1016,13,6.0,10,16
1017,17,16.0,10,17
1018,11,4.0,10,18
1019,21,9.0,10,19
1020,29,15.0,10,20
1021,7,,10,21
1022,7,2.0,10,22
1023,13,10.0,10,23
1024,23,19.0,10,24
1025,33,13.0,10,25
1026,13,5.0,10,26
1027,11,,10,27
1028,33,29.0,10,28
1029,23,19.0,10,29
1030,11,6.0,10,30
1031,46,29.0,10,31
1032,9,5.0,10,32
1033,17,9.0,10,33
1034,23,,10,34
1035,15,9.0,10,35
1036,46,,10,36
1037,46,16.0,10,37
1038,32,17.0,10,38
1039,21,14.0,10,39
1040,19,10.0,10,40
1041,24,4.0,10,41
1042,21,9.0,10,42
1043,17,8.0,10,43
1044,18,10.0,10,44
1045,25,12.0,10,45
1046,17,12.0,10,46
1047,13,8.0,10,47
1048,34,16.0,10,48
1049,28,13.0,10,49
1050,30,11.0,10,50
1051,21,12.0,10,51
1052,19,16.0,10,52
1053,41,17.0,10,53
1054,30,16.0,10,54
1055,19,11.0,10,55
1056,17,4.0,10,56
1057,19,12.0,10,57
1058,21,8.0,10,58
1059,11,5.0,10,59
1060,13,8.0,10,60
1061,15,8.0,10,61
1062,25,19.0,10,62
1063,17,6.0,10,63
1064,17,8.0,10,64
1065,19,5.0,10,65
1066,19,4.0,10,66
1067,23,11.0,10,67
1068,16,8.0,10,68
1069,13,3.0,10,69
1070,26,,10,70
1071,24,17.0,10,71
1072,25,12.0,10,72
1073,13,5.0,10,73
1074,15,9.0,10,74
1075,15,8.0,10,75
1076,7,4.0,10,76
1077,21,,10,77
1078,25,16.0,10,78
1079,21,10.0,10,79
1080,17,6.0,10,80
1081,7,5.0,10,81
1082,9,7.0,10,82
1083,21,15.0,10,83
1084,9,6.0,10,84
1085,37,,10,85
1086,35,11.0,10,86
1087,13,9.0,10,87
1088,11,8.0,10,88
1089,13,12.0,10,89
1090,13,6.0,10,90
1091,32,12.0,10,91
1092,19,10.0,10,92
1093,23,15.0,10,93
1094,21,16.0,10,94
1095,34,28.0,10,95
1096,45,17.0,10,96
1097,31,12.0,10,97
1098,26,20.0,10,98
1099,11,4.0,10,99
1100,11,2.0,11,0
1101,49,,11,1
1102,17,,11,2
1103,29,19.0,11,3
1104,42,,11,4
1105,27,23.0,11,5
1106,42,37.0,11,6
1107,29,24.0,11,7
1108,7,5.0,11,8
1109,13,8.0,11,9
1110,15,10.0,11,10
1111,19,9.0,11,11
1112,21,5.0,11,12
1113,11,6.0,11,13
1114,7,5.0,11,14
1115,11,8.0,11,15
1116,7,,11,16
1117,29,22.0,11,17
1118,33,,11,18
1119,9,8.0,11,19
1120,7,5.0,11,20
1121,13,8.0,11,21
1122,13,9.0,11,22
1123,21,15.0,11,23
1124,33,25.0,11,24
1125,27,11.0,11,25
1126,13,12.0,11,26
1127,24,,11,27
1128,31,20.0,11,28
1129,21,8.0,11,29
1130,12,7.0,11,30
1131,23,10.0,11,31
1132,13,11.0,11,32
1133,17,11.0,11,33
1134,13,11.0,11,34
1135,13,10.0,11,35
1136,15,9.0,11,36
1137,11,9.0,11,37
1138,15,12.0,11,38
1139,32,17.0,11,39
1140,9,4.0,11,40
1141,11,9.0,11,41
1142,19,8.0,11,42
1143,9,7.0,11,43
1144,7,6.0,11,44
1145,11,9.0,11,45
1146,41,38.0,11,46
1147,27,11.0,11,47
1148,21,11.0,11,48
1149,25,16.0,11,49
1150,7,5.0,11,50
1151,9,7.0,11,51
1152,7,5.0,11,52
1153,15,10.0,11,53
1154,17,14.0,11,54
1155,13,9.0,11,55
1156,39,11.0,11,56
1157,19,16.0,11,57
1158,23,15.0,11,58
1159,15,8.0,11,59
1160,33,25.0,11,60
1161,15,10.0,11,61
1162,25,14.0,11,62
1163,31,22.0,11,63
1164,15,8.0,11,64
1165,7,5.0,11,65
1166,11,6.0,11,66
1167,23,12.0,11,67
1168,21,9.0,11,68
1169,17,5.0,11,69
1170,7,5.0,11,70
1171,17,10.0,11,71
1172,23,12.0,11,72
1173,28,9.0,11,73
1174,17,10.0,11,74
1175,19,7.0,11,75
1176,15,10.0,11,76
1177,21,12.0,11,77
1178,21,8.0,11,78
1179,19,15.0,11,79
1180,7,6.0,11,80
1181,15,7.0,11,81
1182,9,7.0,11,82
1183,25,10.0,11,83
1184,25,13.0,11,84
1185,21,7.0,11,85
1186,21,11.0,11,86
1187,17,9.0,11,87
1188,11,6.0,11,88
1189,40,,11,89
1190,17,12.0,11,90
1191,27,23.0,11,91
1192,21,12.0,11,92
1193,29,21.0,11,93
1194,23,11.0,11,94
1195,19,15.0,11,95
1196,9,8.0,11,96
1197,20,13.0,11,97
1198,19,10.0,11,98
1199,17,12.0,11,99
1200,195,,12,0
1201,238,,12,1
1202,76,,12,2
1203,17,0.0,12,3
1204,13,0.0,12,4
1205,67,,12,5
1206,55,,12,6
1207,59,,12,7
1208,28,,12,8
1209,31,0.0,12,9
1210,9,0.0,12,10
1211,63,,12,11
