StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,edu,edu_8_TEXT,game_exp_1,Random ID,workerId,Set a Value Now,finished_game
2023-04-28 08:52:59,2023-04-28 10:16:07,IP Address,65.215.57.7,100,4987,True,2023-04-28 10:16:09,R_eJXj8yYfgREM42l,,,,,40.828,-73.8685,anonymous,EN,"I consent, begin the study",Paul,Purple,A2Y7L7R5UTQ5R2," 8505-6810-8135-7815",Five,54,Female,,White or European,,44,College Graduate (4 year),,41,32717,A2Y7L7R5UTQ5R2,,yes
2023-04-28 09:23:19,2023-04-28 10:31:45,IP Address,73.90.75.36,100,4106,True,2023-04-28 10:31:45,R_2rUSFlnDh86Quhp,,,,,39.7458,-121.8444,anonymous,EN,"I consent, begin the study",Paul,Purple,A3LZRYFUO1S66Z,8602-0931-6345-4560,Five,54,Female,,White or European,,34,Masters Degree (MS),,67,97888,A3LZRYFUO1S66Z,,yes
2023-04-28 09:56:14,2023-04-28 10:41:39,IP Address,66.26.3.131,100,2725,True,2023-04-28 10:41:41,R_2bH4QrVFFXuB92c,,,,,33.862,-79.7425,anonymous,EN,"I consent, begin the study",Paul,Purple,A1J7GK3Z74R4HU,4333-4582-6704-6320,Five,54,Female,,Black or African American,,28,Masters Degree (MS),,87,90629,A1J7GK3Z74R4HU,,yes
2023-04-28 10:17:22,2023-04-28 11:02:10,IP Address,107.77.237.90,100,2688,True,2023-04-28 11:02:15,R_1oGC2awhZlrwfO7,,,,,33.7485,-84.3871,anonymous,EN,"I consent, begin the study",Paul,Purple,A2620VELR4LMLU,7648-4114-2257-4573,Five,54,Male,,White or European,,32,Some College,,77,65638,A2620VELR4LMLU,,yes
2023-04-28 10:11:05,2023-04-28 11:14:34,IP Address,69.206.186.47,100,3808,True,2023-04-28 11:14:35,R_2xKydZsDncLJASX,,,,,41.744,-74.1067,anonymous,EN,"I consent, begin the study",John,Purple,A2HDEWY0ISLL7X,4870-0758-2356-6253,Five,54,Female,,White or European,,28,Masters Degree (MS),,86,88759,A2HDEWY0ISLL7X,,yes
2023-04-28 10:14:14,2023-04-28 11:22:19,IP Address,104.171.175.55,100,4084,True,2023-04-28 11:22:20,R_2pK2ueOAsmAmOI8,,,,,34.0544,-118.2441,anonymous,EN,"I consent, begin the study",Paul,Purple,A1PRZC0JL283H7,0040-0033-7610-1437,Five,54,Male,,Black or African American,,54,College Graduate (4 year),,50,20448,A1PRZC0JL283H7,,yes
2023-04-28 09:59:19,2023-04-28 11:25:50,IP Address,73.10.188.8,100,5191,True,2023-04-28 11:25:51,R_sGB8HYQ1pi3c5S9,,,,,40.0022,-74.7885,anonymous,EN,"I consent, begin the study",Paul,Purple,A3AHD1NV5XCOF,4127-1538-1321-0746,Five,54,Female,,White or European,,56,Masters Degree (MS),,80,64330,A3AHD1NV5XCOF,,yes
2023-04-28 11:15:20,2023-04-28 11:47:49,IP Address,107.181.203.37,100,1949,True,2023-04-28 11:47:52,R_3Dp4VrJkBWB3U9z,,,,,43.6055,-84.7796,anonymous,EN,"I consent, begin the study",Paul,Purple,A80WPJSYIU9LT,6880-3064-2399-2033,Five,54,Male,,White or European,,23,College Graduate (4 year),,70,13919,A80WPJSYIU9LT,,yes
2023-04-28 11:14:47,2023-04-28 12:02:38,IP Address,72.92.16.193,100,2871,True,2023-04-28 12:02:39,R_10UgtGxrIQNd17j,,,,,40.0443,-75.6472,anonymous,EN,"I consent, begin the study",Paul,Purple,A13T1T1VPOCMD3,4956-8188-4628-9364,Five,54,Female,,White or European,,43,Masters Degree (MS),,90,99176,A13T1T1VPOCMD3,,yes
2023-04-28 11:05:23,2023-04-28 12:22:56,IP Address,72.181.2.44,100,4653,True,2023-04-28 12:22:57,R_3dQ9KX1YDSAlRKa,,,,,32.8684,-96.9384,anonymous,EN,"I consent, begin the study",Paul,Purple,A3O3NJQ5AUXUVV,8603-5499-0413-2976,Five,54,Female,,White or European,,32,College Graduate (4 year),,97,53227,A3O3NJQ5AUXUVV,,yes
2023-04-28 11:47:46,2023-04-28 12:23:26,IP Address,73.49.209.211,100,2140,True,2023-04-28 12:23:27,R_241SVQsPtLg5Ljx,,,,,25.8696,-80.3073,anonymous,EN,"I consent, begin the study",Paul,Purple,A334VWE4QGAZFR," 7539-6940-4673-6496",Five,54,Female,,White or European,,32,Masters Degree (MS),,96,21078,A334VWE4QGAZFR,,yes
2023-04-28 12:15:47,2023-04-28 13:29:55,IP Address,76.113.156.186,100,4447,True,2023-04-28 13:29:56,R_2ypCfmVCjVkLiXJ,,,,,45.2815,-93.4195,anonymous,EN,"I consent, begin the study",Paul,Purple,A1OFFNJXVHVI64," 5368-7658-7513-8739",Five,54,Female,,White or European,,27,Masters Degree (MS),,92,85962,A1OFFNJXVHVI64,,yes
