StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,att1,att2,mturk_id,completion_code,comp1,comp2,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,edu,edu_8_TEXT,game_exp_1,Random ID,workerId,Set a Value Now,finished_game
2023-03-29 19:26:17,2023-03-29 20:05:20,0,Anonymized,100,2342,1,2023-03-29 20:05:20,R_bDBqANw8npKIYPn,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,0193-4657-6246-2866,2,3,2,,1,,37,1,,54,72254,Anonymized,,yes
2023-03-29 18:43:35,2023-03-29 20:25:18,0,Anonymized,100,6102,1,2023-03-29 20:25:18,R_Ab7BYx0RUeWPwOt,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,6594-4328-7695-9592,2,3,1,,3,,35,4,,100,10293,Anonymized,,yes
2023-03-29 20:00:26,2023-03-29 20:55:04,0,Anonymized,100,3278,1,2023-03-29 20:55:05,R_1rpNrvbMUh55ERc,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,1647-7769-1166-7358,2,3,1,,3,,33,1,,85,54621,Anonymized,,yes
2023-03-29 19:58:25,2023-03-29 21:02:37,0,Anonymized,100,3852,1,2023-03-29 21:02:38,R_XgMgIZrEqLu6lZn,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,0036-1856-8185-7413,2,3,2,,3,,63,3,,19,76791,Anonymized,,yes
2023-03-29 20:11:04,2023-03-29 21:44:04,0,Anonymized,100,5580,1,2023-03-29 21:44:04,R_2wzxVH65GuzvT3p,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,0239-0380-2494-4891,2,3,2,,3,,31,4,,100,21499,Anonymized,,yes
2023-03-29 20:13:52,2023-03-29 22:01:16,0,Anonymized,100,6444,1,2023-03-29 22:01:17,R_z14qPhbQUdv8E7v,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,6236-9636-7288-8993,2,3,1,,2,,41,5,,80,87785,Anonymized,,yes
2023-03-29 21:24:03,2023-03-29 22:43:10,0,Anonymized,100,4746,1,2023-03-29 22:43:10,R_1dLTZLnklpCXEMK,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,2009-6532-5432-1118,2,3,1,,3,,50,4,,75,79786,Anonymized,,yes
2023-03-29 22:14:23,2023-03-29 23:12:29,0,Anonymized,100,3486,1,2023-03-29 23:12:30,R_3dDCGeIklzCgzSx,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,5356-8437-9889-8992,2,3,2,,3,,60,4,,5,50341,Anonymized,,yes
2023-03-29 23:32:08,2023-03-30 00:28:26,0,Anonymized,100,3377,1,2023-03-30 00:28:26,R_1Nn3SBYLNk4n9zZ,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,3462-3543-2912-5633,2,3,1,,3,,36,4,,97,11304,Anonymized,,yes
2023-03-29 23:43:15,2023-03-30 01:02:55,0,Anonymized,100,4780,1,2023-03-30 01:02:56,R_ulJ3wDms4TFCWS5,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,3839-5225-8876-5859,2,3,1,,1,,57,5,,91,24239,Anonymized,,yes
2023-03-30 04:31:42,2023-03-30 05:11:39,0,Anonymized,100,2396,1,2023-03-30 05:11:39,R_1MPT4wufWrahaZC,,,,,Anonymized,Anonymized,anonymous,EN,1,2,1,Anonymized,6364-9829-2721-8221,2,3,1,,2,,56,5,,70,38538,Anonymized,,yes
